Account,date,trades_count,total_size_usd,avg_execution_price,sum_pnl,mean_pnl,win_rate,avg_leverage,value,classification
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,177,900880.13,3204.4610169491525,0.0,0.0,0.0,-153.88753898305086,76.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,68,542413.1799999999,653.3651470588236,0.0,0.0,0.0,-495.99813823529405,90.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,40,949380.0,3164.6,0.0,0.0,0.0,-456.89492,83.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,12,338240.0,3382.4,-21227.0,-1768.9166666666667,0.0,-634.7470833333333,94.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,27,465700.0,232.92111111111112,1603.1,59.37407407407407,0.4444444444444444,-512.9988888888888,79.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,82,1316799.98,2691.5565853658536,-132271.0,-1613.060975609756,0.0,-450.26482073170735,77.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,23,1116918.77,3723.0173913043477,0.0,0.0,0.0,-441.5700652173913,84.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,33,1212299.96,4041.0,-175611.00005600002,-5321.545456242425,0.0,-509.005303030303,72.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,465,5306093.62,741.0627956989248,71393.964098,153.53540666236557,0.04946236559139785,-2406.510988817204,77.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,51,479429.99,239.15470588235294,40218.599998,788.5999999607843,0.5490196078431373,-6885.46,76.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,10,1858470.0,3091.9700000000003,76710.0,7671.0,0.9,-127.08306,60.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,839,19794543.66,2699.603241954708,101011.685664,120.39533452205006,0.30512514898688914,34.680855780691296,44.0,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,531,5616220.88,1470.9998116760828,375620.270243,707.3828064839925,0.15630885122410546,-2491.4838834274956,72.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,210,5582863.31,2727.8599999999997,44400.9058,211.43288476190477,0.37142857142857144,-1033.50796,54.0,Neutral
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,141,1432708.93,2668.6843971631206,30897.0887,219.12828865248227,0.9361702127659575,-1468.7948574468085,46.0,Neutral
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,48,1537560.0,2563.133333333333,55086.0,1147.625,0.3333333333333333,-1152.5780833333333,43.0,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,6,807600.01,2692.0,0.0,0.0,0.0,-1387.6616999999999,47.0,Neutral
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,59,1603504.46,2672.2118644067796,10152.12224,172.06986847457628,0.5254237288135594,-1456.8740847457627,49.0,Neutral
